#Position (bp)	insert size
3281189.5	780.3538496479673
3296851.5	699.1223709369025
3312513.5	357.69042123485286
3328175.5	296.0983131832332
3343837.5	958.8851330913491
3359499.5	430.9700647249191
3375161.5	1374.1068968017985
3390823.5	281.6027201683198
3406485.5	362.35189669087976
3422147.5	365.25170432784375
3437809.5	593.6454496692294
3453471.5	418.1380062305296
3469133.5	495.3824240592414
3484795.5	494.9201162516691
3500457.5	591.9021739130435
3516119.5	653.1590909090909
3531781.5	438.1733054238749
3547443.5	427.7069394898028
3563105.5	852.1829679595278
3578767.5	666.1609483139449
3594429.5	441.36834712033715
3610091.5	353.9932811635444
3625753.5	418.8693254777551
3641415.5	778.2175137057342
3657077.5	820.6367979154603
3672739.5	1055.4098934773092
3688401.5	671.009387976169
3704063.5	449.90400828279843
3719725.5	565.2458532151784
3735387.5	514.5819961725306
3751049.5	451.83787661406024
3766711.5	281.05651182897117
3782373.5	415.3578811369509
3798035.5	653.1963879192593
3813697.5	588.0718313122732
3829359.5	567.8011583011584
3845021.5	576.8254533410616
3860683.5	1567.445904577018
3876345.5	393.78213367609254
3892007.5	306.9043841938275
3907669.5	281.9632352941176
3923331.5	630.1191273918547
3938993.5	406.672021322576
3954655.5	282.14849886221833
3970317.5	317.40101676910234
3985979.5	419.6158633776091
4001641.5	581.31330472103
4017303.5	525.18051995606
4032965.5	535.1462572540953
4048627.5	548.8630096146679
4064289.5	409.5696673475343
4079951.5	389.06051362088533
4095613.5	397.4290266512167
4111275.5	280.68516739339293
4126937.5	284.0921187308086
4142599.5	468.288221808282
4158261.5	477.304612642056
4173923.5	464.4525935217295
4189585.5	303.1614475098531
4205247.5	294.4631211468469
4220909.5	278.23703973751367
4236571.5	397.46703827573396
4252233.5	410.154180553543
4267895.5	932.450085812357
4283557.5	444.5808867141163
4299219.5	392.39928222357975
4314881.5	343.1212210155562
4330543.5	415.0606768620787
4346205.5	279.2995205844304
4361867.5	374.8005693736889
4377529.5	281.9782527464315
4393191.5	278.33446276635794
4408853.5	278.3908238202574
4424515.5	278.967954311097
4440177.5	280.7288398934596
4455839.5	279.16156169111304
4471501.5	293.3713781202344
4487163.5	403.3027062418158
4502825.5	450.88449044345396
4518487.5	281.19952732220867
4534149.5	402.4030814380044
4549811.5	304.21976828385226
4565473.5	300.61180056607884
4581135.5	295.76079659879167
4596797.5	579.3095647193585
4612459.5	312.67665922029255
4628121.5	280.3881436607529
4643783.5	302.8253296434967
4659445.5	348.8540788403225
4675107.5	280.6647680431687
4690769.5	443.22209484106304
4706431.5	281.8988868274583
4722093.5	354.55580126787555
4737755.5	286.215618933851
4753417.5	487.2621445094571
4769079.5	433.4940071913704
4784741.5	329.13804046013485
4800403.5	408.9379598189021
4816065.5	334.7245663040282
4831727.5	320.42310876928866
4847389.5	279.2379973572163
4863051.5	314.9471283278492
4878713.5	309.70462928114415
4894375.5	328.23823246878004
4910037.5	423.0840915553028
4925699.5	374.07142857142856
4941361.5	284.6610457701573
4957023.5	277.37896853900304
4972685.5	277.0338947070478
4988347.5	419.16054623929807
5004009.5	278.32412714955706
5019671.5	283.14702927669344
5035333.5	341.8036898681101
5050995.5	311.56885305972884
5066657.5	282.31111284776495
5082319.5	287.08769376319043
5097981.5	277.49399736658665
5113643.5	440.38209018718095
5129305.5	324.3816129959747
5144967.5	305.77420064535056
5160629.5	278.20315682281057
5176291.5	350.2968012585212
5191953.5	363.8123402701716
5207615.5	355.4264357076116
5223277.5	278.9291326908821
5238939.5	279.4108130821486
5254601.5	332.26781485468246
5270263.5	274.16507290606984
5285925.5	336.05962679631085
5301587.5	326.1769197207679
5317249.5	280.74172413793104
5332911.5	304.51706519517677
5348573.5	341.04903799402655
5364235.5	395.7494105511347
5379897.5	295.70795822830394
5395559.5	333.71353199078544
5411221.5	300.62711989928164
5426883.5	326.90548036387844
5442545.5	280.9738829452486
5458207.5	281.4415410882637
5473869.5	282.69035308021864
5489531.5	283.73446368273585
5505193.5	282.37099225591663
5520855.5	286.84277489515955
5536517.5	321.84229240744617
5552179.5	331.2095997700654
5567841.5	281.02935025600345
5583503.5	322.3260492040521
5599165.5	310.364248370694
5614827.5	279.0034241788959
5630489.5	322.07951807228915
5646151.5	295.5028135907116
5661813.5	281.5176933158585
5677475.5	277.9493845941087
5693137.5	280.46400973096735
5708799.5	299.52824245817874
5724461.5	277.22595399895454
5740123.5	281.02327972387457
5755785.5	281.5727970749543
5771447.5	281.8067286535595
5787109.5	281.91786432883015
5802771.5	281.1247205142538
5818433.5	277.2697824109704
5834095.5	279.91815349759275
5849757.5	280.9140580126364
5865419.5	281.3708618620738
5881081.5	283.10054328653075
5896743.5	278.7193068612319
5912405.5	282.75839910595795
5928067.5	277.1711556664659
5943729.5	279.98467198038014
5959391.5	278.0933521923621
5975053.5	281.156842031129
5990715.5	282.16599014207014
6006377.5	293.26775732788
